Species,Recruit_Variation,Mean_Age,Transfom_Mean_Age,Recruit_Adjustment,Mortality_Adjustment,Ecosystem_Adjustment,Total_Adjustment,Target_Assessment_Frequency,Last_Assessment_Year,Years_Since_Assessment,Years_Past_Target_Assessment_Frequency,Beyond_Assessment_Adjustment,Greater_Than_10_Years,Less_Than_6_Years_Update,Greater_Than_Target_Assessment_Frequency,Future_ACL_Contraint,Score,Rank
Arrowtooth flounder,0.8,8.05,6.895945697,0,1,-1,0,6,2017,6,0,0,0,0,1,1,2,37
Aurora rockfish,0.5,31.13,11.52920773,0,0,1,1,10,2013,10,0,0,0,0,1,0,1,39
Bank rockfish,NA,NA,NA,0,1,0,1,NA,NA,NA,4,1,NA,0,NA,1,6,4
Big skate,0.3,4.3,5.433872094,1,0,-1,0,6,2019,4,0,0,0,-1,0,0,-1,53
Black rockfish,0.5,8.010164041,6.882958233,0,0,-1,-1,6,2015,8,2,0,0,0,1,0,3,34
Blackgill rockfish,0.5,30.184,11.39479665,0,0,1,1,10,2017,6,0,0,0,0,0,0,0,44
Blue/Deacon rockfish,0.5,10.57,7.647859371,0,-1,0,-1,6,2017,6,0,0,0,0,1,-1,0,44
Bocaccio,1,2.97,4.721052708,-1,0,-1,-2,4,2017,6,2,0,0,0,1,0,3,34
Brown rockfish,NA,NA,NA,0,-1,0,-1,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Cabezon,0.5,5.2,5.840804485,0,0,-1,-1,4,2019,4,0,0,0,0,1,0,1,39
California scorpionfish,0.6,8.241,6.957669027,0,0,-1,-1,6,2017,6,0,0,0,0,1,0,1,39
Canary rockfish,0.5,10.148,7.530364054,0,0,0,0,8,2015,8,0,0,0,0,1,0,1,39
Chilipepper rockfish ,1,9.149,7.239580088,-1,0,-1,-2,6,2015,8,2,0,0,0,1,0,3,34
China rockfish,0.5,19.34570281,9.622623925,0,-1,0,-1,8,2015,8,0,0,0,0,1,-1,0,44
Copper rockfish,0.6,7.367941685,6.667805865,0,-1,0,-1,6,2021,2,-2,0,0,0,0,-1,-3,60
Cowcod ,NA,14.2,8.555806802,0,1,1,2,10,2019,4,0,0,0,-1,0,1,0,44
Curlfin sole,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Darkblotched rockfish,0.75,9.361,7.302874739,0,0,0,0,8,2017,6,0,0,0,0,0,0,0,44
Dover sole,0.35,13.6,8.416590228,0,1,-1,0,8,2021,2,-2,0,0,-1,0,1,-2,56
English sole,0.8,7.14,6.588654265,0,1,-1,0,6,2013,10,4,1,0,0,1,1,7,3
Flag rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Flathead Sole,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Gopher/Black and yellow rockfish,0.5,11.6,7.922922983,0,-1,0,-1,6,2019,4,0,0,0,-1,0,-1,-2,56
Grass rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Greenspotted rockfish,0.7,19.216,9.598057217,0,0,1,1,10,2011,12,2,0,1,0,1,0,4,23
Greenstriped rockfish,0.84,16.8,9.120295827,0,1,0,1,10,2009,14,4,1,1,0,1,1,8,2
Honeycomb rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Kelp greenling,0.65,4.25,5.409774865,0,1,0,1,6,2015,8,2,0,0,0,1,1,4,23
Kelp rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Leopard shark,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Lingcod ,0.6,5.291665889,5.879718258,0,0,-1,-1,4,2021,2,-2,0,0,0,0,0,-2,56
Longnose skate,0.3,10.1,7.516809092,1,0,-1,0,8,2019,4,0,0,0,-1,0,0,-1,53
Longspine thornyhead,0.6,15.27,8.795291393,0,1,-1,0,8,2013,10,2,0,0,0,1,1,4,23
Olive rockfish,NA,NA,NA,0,0,0,0,NA,NA,NA,4,1,NA,0,NA,0,5,11
Pacific cod,NA,NA,NA,0,1,-1,0,NA,NA,NA,4,1,NA,0,NA,1,6,4
Pacific Ocean perch,0.7,16.32,9.020384645,0,0,0,0,10,2017,6,0,0,0,0,0,0,0,44
Pacific sanddab,NA,NA,NA,0,1,0,1,NA,NA,NA,4,1,NA,0,NA,1,6,4
Pacific spiny dogfish,0.2,22.2,10.13924293,1,-1,-1,-1,10,2021,2,-2,0,0,0,0,-1,-3,60
Petrale sole,0.4,7,6.539260728,0,-1,-1,-2,4,2019,4,0,0,0,-1,1,-1,-1,53
Quillback rockfish,0.6,12.94841155,8.26101986,0,-1,1,0,8,2021,2,-2,0,0,0,0,-1,-3,60
Redbanded rockfish,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Redstripe rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Rex Sole,0.8,7.63,6.756950273,0,0,0,0,6,2013,10,4,1,0,0,1,0,6,4
Rock Sole,NA,NA,NA,0,1,1,2,NA,NA,NA,4,1,NA,0,NA,1,6,4
Rosethorn rockfish,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Rosy rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Rougheye/Blackspotted rockfish,0.4,32.51,11.72081596,0,-1,1,0,10,2013,10,0,0,0,0,1,-1,0,44
Sablefish ,1.4,9.7,7.402265488,-1,-1,-1,-3,4,2021,2,-2,0,0,0,0,-1,-3,60
Sand Sole,NA,NA,NA,0,1,0,1,NA,NA,NA,4,1,NA,0,NA,1,6,4
Sharpchin rockfish,0.8,13.32,8.350317789,0,1,0,1,10,2013,10,0,0,0,0,1,1,2,37
Shortraker rockfish,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Shortspine thornyhead ,0.5,25.4,10.67156738,0,0,-1,-1,10,2013,10,0,0,0,0,1,0,1,39
Silvergray rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Speckled rockfish,NA,NA,NA,0,0,0,0,NA,NA,NA,4,1,NA,0,NA,0,5,11
Splitnose rockfish,1,15.91,8.933591021,-1,1,-1,-1,8,2009,14,6,0,1,0,1,1,9,1
Squarespot rockfish,0.7,11.7,7.948808346,0,-1,1,0,8,2021,2,-2,0,0,0,0,-1,-3,60
Starry flounder,NA,NA,NA,0,1,0,1,NA,NA,NA,4,1,NA,0,NA,1,6,4
Starry rockfish,NA,NA,NA,0,-1,0,-1,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Stripetail rockfish,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Treefish rockfish,NA,NA,NA,0,-1,1,0,NA,NA,NA,4,1,NA,0,NA,-1,4,23
Vermilion/Sunset rockfish,0.5,7.252882466,6.628044895,0,-1,1,0,6,2021,2,-2,0,0,0,0,-1,-3,60
Widow rockfish,0.6,9.7,7.402265488,0,-1,-1,-2,6,2019,4,0,0,0,-1,0,-1,-2,56
Yelloweye rockfish,0.5,21.78893375,10.06748683,0,0,0,0,10,2017,6,0,0,0,0,0,0,0,44
Yellowmouth rockfish,NA,NA,NA,0,0,1,1,NA,NA,NA,4,1,NA,0,NA,0,5,11
Yellowtail rockfish,0.37832249,14.12,8.537458057,0,0,-1,-1,8,2017,6,0,0,0,0,0,0,0,44
